season,batter,t,orange_cap_holder
2008,"SE Marsh",644,"SE Marsh"
2009,"SR Tendulkar",1055,"SR Tendulkar"
2011,"CH Gayle",638,"CH Gayle"
2012,"CH Gayle",762,"CH Gayle"
2013,"MEK Hussey",761,"MEK Hussey"
2014,"RV Uthappa",681,"RV Uthappa"
2015,"DA Warner",589,"DA Warner"
2016,"V Kohli",998,"V Kohli"
2017,"DA Warner",670,"DA Warner"
2018,"KS Williamson",747,"KS Williamson"
2019,"DA Warner",727,"DA Warner"
2020,"S Dhawan",628,"S Dhawan"
2021,"RD Gaikwad",658,"RD Gaikwad"
2022,"JC Buttler",894,"JC Buttler"
